{'table_name': 'agency', 'column_name': 'agency_id', 'improved_table_name': 'agency information', 'improved_column_name': 'agency identifier', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_name', 'improved_table_name': 'agency information', 'improved_column_name': 'agency name', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_url', 'improved_table_name': 'agency information', 'improved_column_name': 'agency website URL', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_timezone', 'improved_table_name': 'agency information', 'improved_column_name': 'agency time zone', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_lang', 'improved_table_name': 'agency information', 'improved_column_name': 'agency language code', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_phone', 'improved_table_name': 'agency information', 'improved_column_name': 'agency phone number', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_fare_url', 'improved_table_name': 'agency information', 'improved_column_name': 'agency fare information URL', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'service_id', 'improved_table_name': 'Service Calendar Date Exceptions', 'improved_column_name': 'service identifier', 'related_table': 'calendar'}
{'table_name': 'calendar_dates', 'column_name': 'date', 'improved_table_name': 'Service Calendar Date Exceptions', 'improved_column_name': 'date', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'exception_type', 'improved_table_name': 'Service Calendar Date Exceptions', 'improved_column_name': 'exception type', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'service_id', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'service identifier', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'monday', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'Monday operation indicator', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'tuesday', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'Tuesday operation indicator', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'wednesday', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'Wednesday operation indicator', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'thursday', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'Thursday operation indicator', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'friday', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'Friday operation indicator', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'saturday', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'Saturday operation indicator', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'sunday', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'Sunday operation indicator', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'start_date', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'service start date', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'end_date', 'improved_table_name': 'Service Calendar', 'improved_column_name': 'service end date', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_publisher_name', 'improved_table_name': 'General Feed Information', 'improved_column_name': 'name of the feed publisher', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_publisher_url', 'improved_table_name': 'General Feed Information', 'improved_column_name': 'URL of the feed publisher', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_lang', 'improved_table_name': 'General Feed Information', 'improved_column_name': 'language of the feed', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_start_date', 'improved_table_name': 'General Feed Information', 'improved_column_name': 'start date of the feed', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_end_date', 'improved_table_name': 'General Feed Information', 'improved_column_name': 'end date of the feed', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_version', 'improved_table_name': 'General Feed Information', 'improved_column_name': 'version of the feed', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'trip_id', 'improved_table_name': 'Frequency-Based Trip Schedules', 'improved_column_name': 'trip identifier', 'related_table': 'trips'}
{'table_name': 'frequencies', 'column_name': 'start_time', 'improved_table_name': 'Frequency-Based Trip Schedules', 'improved_column_name': 'start time', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'end_time', 'improved_table_name': 'Frequency-Based Trip Schedules', 'improved_column_name': 'end time', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'headway_secs', 'improved_table_name': 'Frequency-Based Trip Schedules', 'improved_column_name': 'headway in seconds', 'related_table': None}
