{'table_name': 'Budget Amounts', 'column_name': 'budget_id', 'improved_table_name': 'Detailed Budget Amounts', 'improved_column_name': 'Budget Identifier', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'contract_id', 'improved_table_name': 'Detailed Budget Amounts', 'improved_column_name': 'Contract Identifier', 'related_table': 'Contracts'}
{'table_name': 'Budget Amounts', 'column_name': 'estimated_overall_amount', 'improved_table_name': 'Detailed Budget Amounts', 'improved_column_name': 'Estimated Overall Amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'total_amount', 'improved_table_name': 'Detailed Budget Amounts', 'improved_column_name': 'Total Amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'tax_exclusive_amount', 'improved_table_name': 'Detailed Budget Amounts', 'improved_column_name': 'Tax Exclusive Amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'currency', 'improved_table_name': 'Detailed Budget Amounts', 'improved_column_name': 'Currency', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'classification_id', 'improved_table_name': 'List of Classifications', 'improved_column_name': 'Classification Identifier', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'contract_id', 'improved_table_name': 'List of Classifications', 'improved_column_name': 'Contract Identifier', 'related_table': 'Contracts'}
{'table_name': 'Classifications', 'column_name': 'classification_code', 'improved_table_name': 'List of Classifications', 'improved_column_name': 'Classification Code', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'classification_system', 'improved_table_name': 'List of Classifications', 'improved_column_name': 'Classification System', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'party_id', 'improved_table_name': 'List of Contracting Parties', 'improved_column_name': 'party identifier', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'contract_id', 'improved_table_name': 'List of Contracting Parties', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Contracting Party', 'column_name': 'party_type_code', 'improved_table_name': 'List of Contracting Parties', 'improved_column_name': 'party type code', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'name', 'improved_table_name': 'List of Contracting Parties', 'improved_column_name': 'name', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'website', 'improved_table_name': 'List of Contracting Parties', 'improved_column_name': 'website', 'related_table': None}
