{'table_name': 'agency', 'column_name': 'agency_id', 'improved_table_name': 'transit agencies', 'improved_column_name': 'agency identifier', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_name', 'improved_table_name': 'transit agencies', 'improved_column_name': 'agency name', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_url', 'improved_table_name': 'transit agencies', 'improved_column_name': 'agency website URL', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_timezone', 'improved_table_name': 'transit agencies', 'improved_column_name': 'agency timezone', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_lang', 'improved_table_name': 'transit agencies', 'improved_column_name': 'agency language', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_phone', 'improved_table_name': 'transit agencies', 'improved_column_name': 'agency phone number', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_fare_url', 'improved_table_name': 'transit agencies', 'improved_column_name': 'agency fare information URL', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'service_id', 'improved_table_name': 'service date exceptions', 'improved_column_name': 'service identifier', 'related_table': 'calendar'}
{'table_name': 'calendar_dates', 'column_name': 'date', 'improved_table_name': 'service date exceptions', 'improved_column_name': 'exception date', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'exception_type', 'improved_table_name': 'service date exceptions', 'improved_column_name': 'exception type', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'service_id', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service identifier', 'related_table': 'calendar_dates'}
{'table_name': 'calendar', 'column_name': 'monday', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service active on monday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'tuesday', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service active on tuesday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'wednesday', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service active on wednesday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'thursday', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service active on thursday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'friday', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service active on friday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'saturday', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service active on saturday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'sunday', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service active on sunday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'start_date', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service validity start date', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'end_date', 'improved_table_name': 'service availability schedule', 'improved_column_name': 'service validity end date', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_publisher_name', 'improved_table_name': 'feed information', 'improved_column_name': 'name of the feed publisher', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_publisher_url', 'improved_table_name': 'feed information', 'improved_column_name': 'URL of the feed publisher', 'related_table': None}
