{'table_name': 'stops', 'column_name': 'stop_id', 'class_name': 'Stop', 'properties': 'Stop.ID', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_id', 'class_name': 'Station', 'properties': 'Station.ID', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_code', 'class_name': 'Stop', 'properties': 'Stop.Location Code', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_code', 'class_name': 'Station', 'properties': 'Station.Location Code', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_name', 'class_name': 'Stop', 'properties': 'Stop.Name', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_name', 'class_name': 'Station', 'properties': 'Station.Name', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_desc', 'class_name': 'Stop', 'properties': 'Stop.RouteDesc', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_desc', 'class_name': 'Station', 'properties': 'Station.RouteDesc', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_lat', 'class_name': 'Stop', 'properties': 'Stop.Latitude', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_lon', 'class_name': 'Stop', 'properties': 'Stop.Longitude', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_url', 'class_name': 'Stop', 'properties': 'Stop.URL', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_url', 'class_name': 'Station', 'properties': 'Station.URL', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'location_type', 'class_name': 'Stop', 'properties': 'Stop.Location Type', 'type': 'object', 'new_property': False}
{'table_name': 'stops', 'column_name': 'location_type', 'class_name': 'Station', 'properties': 'Station.Location Type', 'type': 'object', 'new_property': False}
{'table_name': 'stops', 'column_name': 'parent_station', 'class_name': 'Stop', 'properties': 'Stop.Parent Station', 'type': 'object', 'new_property': False}
{'table_name': 'stops', 'column_name': 'parent_station', 'class_name': 'Station', 'properties': 'Station.Parent Station', 'type': 'object', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_timezone', 'class_name': 'Stop', 'properties': 'Stop.Timezone', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'stop_timezone', 'class_name': 'Station', 'properties': 'Station.Timezone', 'type': 'data', 'new_property': False}
{'table_name': 'stops', 'column_name': 'wheelchair_boarding', 'class_name': 'Stop', 'properties': 'Stop.Wheelchair accesible', 'type': 'object', 'new_property': False}
{'table_name': 'stops', 'column_name': 'wheelchair_boarding', 'class_name': 'Station', 'properties': 'Station.Wheelchair accesible', 'type': 'object', 'new_property': False}
