{'table_name': 'agency', 'column_name': 'agency_id', 'improved_table_name': 'list of transportation agencies', 'improved_column_name': 'agency identifier', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_name', 'improved_table_name': 'list of transportation agencies', 'improved_column_name': 'name of agency', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_url', 'improved_table_name': 'list of transportation agencies', 'improved_column_name': 'agency website url', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_timezone', 'improved_table_name': 'list of transportation agencies', 'improved_column_name': 'agency timezone', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_lang', 'improved_table_name': 'list of transportation agencies', 'improved_column_name': 'agency language', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_phone', 'improved_table_name': 'list of transportation agencies', 'improved_column_name': 'agency phone number', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_fare_url', 'improved_table_name': 'list of transportation agencies', 'improved_column_name': 'agency fare information url', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'service_id', 'improved_table_name': 'calendar date exceptions', 'improved_column_name': 'service identifier', 'related_table': 'calendar'}
{'table_name': 'calendar_dates', 'column_name': 'date', 'improved_table_name': 'calendar date exceptions', 'improved_column_name': 'date of service', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'exception_type', 'improved_table_name': 'calendar date exceptions', 'improved_column_name': 'type of exception', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'service_id', 'improved_table_name': 'service calendar', 'improved_column_name': 'service identifier', 'related_table': 'trips'}
{'table_name': 'calendar', 'column_name': 'monday', 'improved_table_name': 'service calendar', 'improved_column_name': 'monday operation', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'tuesday', 'improved_table_name': 'service calendar', 'improved_column_name': 'tuesday operation', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'wednesday', 'improved_table_name': 'service calendar', 'improved_column_name': 'wednesday operation', 'related_table': None}
