{'table_name': 'Tender Results', 'column_name': 'result_id', 'class_name': 'ResultNotice', 'properties': 'Has i d -> Identifier', 'type': 'data', 'new_property': False}
{'table_name': 'Tender Results', 'column_name': 'contract_id', 'class_name': 'ResultNotice', 'properties': 'Refer to procedure -> Procedure', 'type': 'object', 'new_property': False}
{'table_name': 'Tender Results', 'column_name': 'result_code', 'class_name': 'ResultNotice', 'properties': 'status', 'type': 'data', 'new_property': True}
{'table_name': 'Tender Results', 'column_name': 'description', 'class_name': 'ResultNotice', 'properties': 'description', 'type': 'data', 'new_property': True}
{'table_name': 'Tender Results', 'column_name': 'award_date', 'class_name': 'Lot award outcome', 'properties': 'Has award decision date', 'type': 'data', 'new_property': False}
{'table_name': 'Tender Results', 'column_name': 'received_tender_quantity', 'class_name': 'Submission statistical information', 'properties': 'Has received tenders', 'type': 'data', 'new_property': False}
{'table_name': 'Tender Results', 'column_name': 'contract_issue_id', 'class_name': 'ResultNotice', 'properties': 'Refer to contract issuance -> Procedure', 'type': 'object', 'new_property': True}
{'table_name': 'Tender Results', 'column_name': 'contract_issue_date', 'class_name': 'ResultNotice', 'properties': 'contract_issue_date', 'type': 'data', 'new_property': True}
{'table_name': 'Tender Results', 'column_name': 'awarded_tax_exclusive', 'class_name': 'ResultNotice', 'properties': 'awarded_amount', 'type': 'data', 'new_property': True}
{'table_name': 'Tender Results', 'column_name': 'awarded_payable_amount', 'class_name': 'ResultNotice', 'properties': 'payable_amount', 'type': 'data', 'new_property': True}
{'table_name': 'Tender Results', 'column_name': 'currency', 'class_name': 'ResultNotice', 'properties': 'currency', 'type': 'data', 'new_property': True}
