{'table_name': 'Budget Amounts', 'column_name': 'budget_id', 'improved_table_name': 'Detailed Budget Amounts Breakdown', 'improved_column_name': 'unique budget identifier', 'related_table': 'Classifications'}
{'table_name': 'Budget Amounts', 'column_name': 'contract_id', 'improved_table_name': 'Detailed Budget Amounts Breakdown', 'improved_column_name': 'contract reference identifier', 'related_table': 'Contracts'}
{'table_name': 'Budget Amounts', 'column_name': 'estimated_overall_amount', 'improved_table_name': 'Detailed Budget Amounts Breakdown', 'improved_column_name': 'estimated overall budget amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'total_amount', 'improved_table_name': 'Detailed Budget Amounts Breakdown', 'improved_column_name': 'total budget amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'tax_exclusive_amount', 'improved_table_name': 'Detailed Budget Amounts Breakdown', 'improved_column_name': 'tax exclusive budget amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'currency', 'improved_table_name': 'Detailed Budget Amounts Breakdown', 'improved_column_name': 'currency of budget amount', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'classification_id', 'improved_table_name': 'Classification Categories', 'improved_column_name': 'unique classification identifier', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'contract_id', 'improved_table_name': 'Classification Categories', 'improved_column_name': 'associated contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Classifications', 'column_name': 'classification_code', 'improved_table_name': 'Classification Categories', 'improved_column_name': 'classification code', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'classification_system', 'improved_table_name': 'Classification Categories', 'improved_column_name': 'classification system', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'party_id', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'unique party identifier', 'related_table': 'Parent Organizations'}
{'table_name': 'Contracting Party', 'column_name': 'contract_id', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'associated contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Contracting Party', 'column_name': 'party_type_code', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'party type classification code', 'related_table': 'Classifications'}
{'table_name': 'Contracting Party', 'column_name': 'name', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'party name', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'website', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'party website', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'city', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'city of party location', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'postal_code', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'postal code of party location', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'address_line', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'address line of party location', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'country_code', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'country code of party location', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'country_name', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'country name of party location', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'telephone', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'telephone number', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'telefax', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'telefax number', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'email', 'improved_table_name': 'Contracting Party Information', 'improved_column_name': 'email address', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'contract_id', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'entry_id', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'link', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'title', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'status_code', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'updated', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'contract_type_code', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'contract_subtype_code', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'duration_years', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'procedure_code', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'urgency_code', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'contracting_system_code', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'submission_method_code', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'legislation', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
