{'table_name': 'agency', 'column_name': 'agency_id', 'improved_table_name': 'transportation agency', 'improved_column_name': 'agency identifier', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_name', 'improved_table_name': 'transportation agency', 'improved_column_name': 'agency name', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_url', 'improved_table_name': 'transportation agency', 'improved_column_name': 'agency website URL', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_timezone', 'improved_table_name': 'transportation agency', 'improved_column_name': 'agency timezone', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_lang', 'improved_table_name': 'transportation agency', 'improved_column_name': 'agency language', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_phone', 'improved_table_name': 'transportation agency', 'improved_column_name': 'agency contact phone', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_fare_url', 'improved_table_name': 'transportation agency', 'improved_column_name': 'agency fare URL', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'service_id', 'improved_table_name': 'calendar dates', 'improved_column_name': 'service identifier', 'related_table': 'trips'}
{'table_name': 'calendar_dates', 'column_name': 'date', 'improved_table_name': 'calendar dates', 'improved_column_name': 'date', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'exception_type', 'improved_table_name': 'calendar dates', 'improved_column_name': 'exception type', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'service_id', 'improved_table_name': 'service calendar', 'improved_column_name': 'service identifier', 'related_table': 'trips'}
{'table_name': 'calendar', 'column_name': 'monday', 'improved_table_name': 'service calendar', 'improved_column_name': 'is service available on monday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'tuesday', 'improved_table_name': 'service calendar', 'improved_column_name': 'is service available on tuesday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'wednesday', 'improved_table_name': 'service calendar', 'improved_column_name': 'is service available on wednesday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'thursday', 'improved_table_name': 'service calendar', 'improved_column_name': 'is service available on thursday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'friday', 'improved_table_name': 'service calendar', 'improved_column_name': 'is service available on friday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'saturday', 'improved_table_name': 'service calendar', 'improved_column_name': 'is service available on saturday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'sunday', 'improved_table_name': 'service calendar', 'improved_column_name': 'is service available on sunday', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'start_date', 'improved_table_name': 'service calendar', 'improved_column_name': 'start date of service period', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'end_date', 'improved_table_name': 'service calendar', 'improved_column_name': 'end date of service period', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_publisher_name', 'improved_table_name': 'feed information', 'improved_column_name': 'name of feed publisher', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_publisher_url', 'improved_table_name': 'feed information', 'improved_column_name': 'URL of feed publisher', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_lang', 'improved_table_name': 'feed information', 'improved_column_name': 'language of feed', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_start_date', 'improved_table_name': 'feed information', 'improved_column_name': 'start date of feed', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_end_date', 'improved_table_name': 'feed information', 'improved_column_name': 'end date of feed', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_version', 'improved_table_name': 'feed information', 'improved_column_name': 'version of feed', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'trip_id', 'improved_table_name': 'trip frequencies', 'improved_column_name': 'trip identifier', 'related_table': 'trips'}
{'table_name': 'frequencies', 'column_name': 'start_time', 'improved_table_name': 'trip frequencies', 'improved_column_name': 'start time', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'end_time', 'improved_table_name': 'trip frequencies', 'improved_column_name': 'end time', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'headway_secs', 'improved_table_name': 'trip frequencies', 'improved_column_name': 'headway in seconds', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'exact_times', 'improved_table_name': 'trip frequencies', 'improved_column_name': 'exact times flag', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_id', 'improved_table_name': 'list of transit routes', 'improved_column_name': 'route identifier', 'related_table': None}
