{'table_name': 'Contracting Party', 'column_name': 'party_id', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'party_id', 'class_name': 'Agent', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'name', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'website', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'city', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'postal_code', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'address_line', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'country_code', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'country_name', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'telephone', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'telefax', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'email', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'party_type_code', 'class_name': 'Agent', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'contract_id', 'class_name': 'Organization', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracting Party', 'column_name': 'contract_id', 'class_name': 'Agent', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
