{'table_name': 'Contracts', 'column_name': 'contract_id', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'entry_id', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'title', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'status_code', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'updated', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'contract_type_code', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'contract_subtype_code', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'duration_years', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'procedure_code', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'urgency_code', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'contracting_system_code', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'submission_method_code', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'legislation', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
{'table_name': 'Contracts', 'column_name': 'language', 'class_name': 'Procedure', 'properties': 'Has i d', 'type': 'object', 'new_property': False}
