{'table_name': 'Budget Amounts', 'column_name': 'budget_id', 'improved_table_name': 'budget allocations', 'improved_column_name': 'budget identifier', 'related_table': 'Classifications'}
{'table_name': 'Budget Amounts', 'column_name': 'contract_id', 'improved_table_name': 'budget allocations', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Budget Amounts', 'column_name': 'estimated_overall_amount', 'improved_table_name': 'budget allocations', 'improved_column_name': 'estimated total amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'total_amount', 'improved_table_name': 'budget allocations', 'improved_column_name': 'total amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'tax_exclusive_amount', 'improved_table_name': 'budget allocations', 'improved_column_name': 'amount excluding tax', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'currency', 'improved_table_name': 'budget allocations', 'improved_column_name': 'currency code', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'classification_id', 'improved_table_name': 'list of classification categories', 'improved_column_name': 'unique identifier of the classification', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'contract_id', 'improved_table_name': 'list of classification categories', 'improved_column_name': 'unique identifier of the associated contract', 'related_table': 'Contracts'}
{'table_name': 'Classifications', 'column_name': 'classification_code', 'improved_table_name': 'list of classification categories', 'improved_column_name': 'code representing the classification', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'classification_system', 'improved_table_name': 'list of classification categories', 'improved_column_name': 'system or framework used for classification', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'party_id', 'improved_table_name': 'contracting parties', 'improved_column_name': 'party identifier', 'related_table': 'Parent Organizations'}
{'table_name': 'Contracting Party', 'column_name': 'contract_id', 'improved_table_name': 'contracting parties', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Contracting Party', 'column_name': 'party_type_code', 'improved_table_name': 'contracting parties', 'improved_column_name': 'party type code', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'name', 'improved_table_name': 'contracting parties', 'improved_column_name': 'full name', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'website', 'improved_table_name': 'contracting parties', 'improved_column_name': 'website URL', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'city', 'improved_table_name': 'contracting parties', 'improved_column_name': 'city', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'postal_code', 'improved_table_name': 'contracting parties', 'improved_column_name': 'postal code', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'address_line', 'improved_table_name': 'contracting parties', 'improved_column_name': 'address line', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'country_code', 'improved_table_name': 'contracting parties', 'improved_column_name': 'country code', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'country_name', 'improved_table_name': 'contracting parties', 'improved_column_name': 'country name', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'telephone', 'improved_table_name': 'contracting parties', 'improved_column_name': 'telephone number', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'telefax', 'improved_table_name': 'contracting parties', 'improved_column_name': 'telefax number', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'email', 'improved_table_name': 'contracting parties', 'improved_column_name': 'email address', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'contract_id', 'improved_table_name': 'contract records', 'improved_column_name': 'contract identifier', 'related_table': 'Valid Notices'}
{'table_name': 'Contracts', 'column_name': 'entry_id', 'improved_table_name': 'contract records', 'improved_column_name': 'entry identifier', 'related_table': 'Valid Notices'}
{'table_name': 'Contracts', 'column_name': 'link', 'improved_table_name': 'contract records', 'improved_column_name': 'related link', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'title', 'improved_table_name': 'contract records', 'improved_column_name': 'contract title', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'status_code', 'improved_table_name': 'contract records', 'improved_column_name': 'status code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'updated', 'improved_table_name': 'contract records', 'improved_column_name': 'last updated timestamp', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'contract_type_code', 'improved_table_name': 'contract records', 'improved_column_name': 'contract type code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'contract_subtype_code', 'improved_table_name': 'contract records', 'improved_column_name': 'contract subtype code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'duration_years', 'improved_table_name': 'contract records', 'improved_column_name': 'duration in years', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'procedure_code', 'improved_table_name': 'contract records', 'improved_column_name': 'procurement procedure code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'urgency_code', 'improved_table_name': 'contract records', 'improved_column_name': 'urgency code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'contracting_system_code', 'improved_table_name': 'contract records', 'improved_column_name': 'contracting system code', 'related_table': 'Contracting Party'}
{'table_name': 'Contracts', 'column_name': 'submission_method_code', 'improved_table_name': 'contract records', 'improved_column_name': 'submission method code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'legislation', 'improved_table_name': 'contract records', 'improved_column_name': 'legislative reference', 'related_table': 'Parent Organizations'}
{'table_name': 'Contracts', 'column_name': 'language', 'improved_table_name': 'contract records', 'improved_column_name': 'primary language', 'related_table': 'Classifications'}
{'table_name': 'Locations', 'column_name': 'location_id', 'improved_table_name': 'geographic locations', 'improved_column_name': 'unique location identifier', 'related_table': None}
