{'table_name': 'agency', 'column_name': 'agency_id', 'improved_table_name': 'list of transit agencies', 'improved_column_name': 'agency identifier', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_name', 'improved_table_name': 'list of transit agencies', 'improved_column_name': 'agency name', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_url', 'improved_table_name': 'list of transit agencies', 'improved_column_name': 'agency website URL', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_timezone', 'improved_table_name': 'list of transit agencies', 'improved_column_name': 'agency time zone', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_lang', 'improved_table_name': 'list of transit agencies', 'improved_column_name': 'agency default language', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_phone', 'improved_table_name': 'list of transit agencies', 'improved_column_name': 'agency contact phone number', 'related_table': None}
{'table_name': 'agency', 'column_name': 'agency_fare_url', 'improved_table_name': 'list of transit agencies', 'improved_column_name': 'agency fare information URL', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'service_id', 'improved_table_name': 'service calendar exceptions', 'improved_column_name': 'service identifier', 'related_table': 'calendar'}
{'table_name': 'calendar_dates', 'column_name': 'date', 'improved_table_name': 'service calendar exceptions', 'improved_column_name': 'exception date', 'related_table': None}
{'table_name': 'calendar_dates', 'column_name': 'exception_type', 'improved_table_name': 'service calendar exceptions', 'improved_column_name': 'exception type', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'service_id', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'service identifier', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'monday', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'operates on Monday flag', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'tuesday', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'operates on Tuesday flag', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'wednesday', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'operates on Wednesday flag', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'thursday', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'operates on Thursday flag', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'friday', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'operates on Friday flag', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'saturday', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'operates on Saturday flag', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'sunday', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'operates on Sunday flag', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'start_date', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'service start date', 'related_table': None}
{'table_name': 'calendar', 'column_name': 'end_date', 'improved_table_name': 'service operating calendar', 'improved_column_name': 'service end date', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_publisher_name', 'improved_table_name': 'public transit feed metadata', 'improved_column_name': 'data feed publisher name', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_publisher_url', 'improved_table_name': 'public transit feed metadata', 'improved_column_name': 'data feed publisher URL', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_lang', 'improved_table_name': 'public transit feed metadata', 'improved_column_name': 'data feed language code', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_start_date', 'improved_table_name': 'public transit feed metadata', 'improved_column_name': 'data feed start date', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_end_date', 'improved_table_name': 'public transit feed metadata', 'improved_column_name': 'data feed end date', 'related_table': None}
{'table_name': 'feed_info', 'column_name': 'feed_version', 'improved_table_name': 'public transit feed metadata', 'improved_column_name': 'data feed version', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'trip_id', 'improved_table_name': 'trip frequency schedules', 'improved_column_name': 'trip identifier', 'related_table': 'trips'}
{'table_name': 'frequencies', 'column_name': 'start_time', 'improved_table_name': 'trip frequency schedules', 'improved_column_name': 'service start time', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'end_time', 'improved_table_name': 'trip frequency schedules', 'improved_column_name': 'service end time', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'headway_secs', 'improved_table_name': 'trip frequency schedules', 'improved_column_name': 'headway interval in seconds', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'exact_times', 'improved_table_name': 'trip frequency schedules', 'improved_column_name': 'exact times indicator', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_id', 'improved_table_name': 'public transportation routes', 'improved_column_name': 'route identifier', 'related_table': None}
{'table_name': 'routes', 'column_name': 'agency_id', 'improved_table_name': 'public transportation routes', 'improved_column_name': 'agency identifier', 'related_table': 'agency'}
{'table_name': 'routes', 'column_name': 'route_short_name', 'improved_table_name': 'public transportation routes', 'improved_column_name': 'short route name', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_long_name', 'improved_table_name': 'public transportation routes', 'improved_column_name': 'long route name', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_desc', 'improved_table_name': 'public transportation routes', 'improved_column_name': 'route description', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_type', 'improved_table_name': 'public transportation routes', 'improved_column_name': 'route type', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_url', 'improved_table_name': 'public transportation routes', 'improved_column_name': 'route URL', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_color', 'improved_table_name': 'public transportation routes', 'improved_column_name': 'route color', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_text_color', 'improved_table_name': 'public transportation routes', 'improved_column_name': 'route text color', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_id', 'improved_table_name': 'geospatial route shape points', 'improved_column_name': 'shape identifier', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_pt_lat', 'improved_table_name': 'geospatial route shape points', 'improved_column_name': 'shape point latitude', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_pt_lon', 'improved_table_name': 'geospatial route shape points', 'improved_column_name': 'shape point longitude', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_pt_sequence', 'improved_table_name': 'geospatial route shape points', 'improved_column_name': 'shape point sequence number', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_dist_traveled', 'improved_table_name': 'geospatial route shape points', 'improved_column_name': 'cumulative distance traveled along shape', 'related_table': None}
