{'table_name': 'Budget Amounts', 'column_name': 'budget_id', 'improved_table_name': 'budgeted monetary amounts', 'improved_column_name': 'budget identifier', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'contract_id', 'improved_table_name': 'budgeted monetary amounts', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Budget Amounts', 'column_name': 'estimated_overall_amount', 'improved_table_name': 'budgeted monetary amounts', 'improved_column_name': 'estimated overall amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'total_amount', 'improved_table_name': 'budgeted monetary amounts', 'improved_column_name': 'total amount', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'tax_exclusive_amount', 'improved_table_name': 'budgeted monetary amounts', 'improved_column_name': 'amount excluding taxes', 'related_table': None}
{'table_name': 'Budget Amounts', 'column_name': 'currency', 'improved_table_name': 'budgeted monetary amounts', 'improved_column_name': 'currency code', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'classification_id', 'improved_table_name': 'list of contract classifications', 'improved_column_name': 'classification identifier', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'contract_id', 'improved_table_name': 'list of contract classifications', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Classifications', 'column_name': 'classification_code', 'improved_table_name': 'list of contract classifications', 'improved_column_name': 'classification code', 'related_table': None}
{'table_name': 'Classifications', 'column_name': 'classification_system', 'improved_table_name': 'list of contract classifications', 'improved_column_name': 'classification system name', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'party_id', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'contracting party identifier', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'contract_id', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Contracting Party', 'column_name': 'party_type_code', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'contracting party type code', 'related_table': 'Classifications'}
{'table_name': 'Contracting Party', 'column_name': 'name', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'contracting party name', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'website', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'website URL', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'city', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'city', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'postal_code', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'postal code', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'address_line', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'street address line', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'country_code', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'ISO country code', 'related_table': 'Locations'}
{'table_name': 'Contracting Party', 'column_name': 'country_name', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'country name', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'telephone', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'telephone number', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'telefax', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'fax number', 'related_table': None}
{'table_name': 'Contracting Party', 'column_name': 'email', 'improved_table_name': 'Contracting Party Details', 'improved_column_name': 'email address', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'contract_id', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'contract identifier', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'entry_id', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'notice entry identifier', 'related_table': 'Valid Notices'}
{'table_name': 'Contracts', 'column_name': 'link', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'contract hyperlink', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'title', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'contract title', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'status_code', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'status classification code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'updated', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'last updated timestamp', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'contract_type_code', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'contract type classification code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'contract_subtype_code', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'contract subtype classification code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'duration_years', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'contract duration in years', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'procedure_code', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'procurement procedure classification code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'urgency_code', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'urgency level classification code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'contracting_system_code', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'contracting system classification code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'submission_method_code', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'submission method classification code', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'legislation', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'applicable legislation', 'related_table': None}
{'table_name': 'Contracts', 'column_name': 'language', 'improved_table_name': 'procurement contract records', 'improved_column_name': 'document language', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'location_id', 'improved_table_name': 'contract locations', 'improved_column_name': 'location identifier', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'contract_id', 'improved_table_name': 'contract locations', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Locations', 'column_name': 'country_subentity', 'improved_table_name': 'contract locations', 'improved_column_name': 'administrative subdivision name', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'country_subentity_code', 'improved_table_name': 'contract locations', 'improved_column_name': 'administrative subdivision code', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'country_code', 'improved_table_name': 'contract locations', 'improved_column_name': 'country code', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'country_name', 'improved_table_name': 'contract locations', 'improved_column_name': 'country name', 'related_table': None}
{'table_name': 'Parent Organizations', 'column_name': 'parent_id', 'improved_table_name': 'Parent Organization Hierarchy', 'improved_column_name': 'parent organization ID', 'related_table': None}
{'table_name': 'Parent Organizations', 'column_name': 'party_id', 'improved_table_name': 'Parent Organization Hierarchy', 'improved_column_name': 'contracting party ID', 'related_table': 'Contracting Party'}
{'table_name': 'Parent Organizations', 'column_name': 'contract_id', 'improved_table_name': 'Parent Organization Hierarchy', 'improved_column_name': 'contract ID', 'related_table': 'Contracts'}
{'table_name': 'Parent Organizations', 'column_name': 'level', 'improved_table_name': 'Parent Organization Hierarchy', 'improved_column_name': 'hierarchy level', 'related_table': None}
{'table_name': 'Parent Organizations', 'column_name': 'name', 'improved_table_name': 'Parent Organization Hierarchy', 'improved_column_name': 'organization name', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'result_id', 'improved_table_name': 'tender award results', 'improved_column_name': 'tender result identifier', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'contract_id', 'improved_table_name': 'tender award results', 'improved_column_name': 'related contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Tender Results', 'column_name': 'result_code', 'improved_table_name': 'tender award results', 'improved_column_name': 'tender result classification code', 'related_table': 'Classifications'}
{'table_name': 'Tender Results', 'column_name': 'description', 'improved_table_name': 'tender award results', 'improved_column_name': 'result description', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'award_date', 'improved_table_name': 'tender award results', 'improved_column_name': 'award date', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'received_tender_quantity', 'improved_table_name': 'tender award results', 'improved_column_name': 'number of tenders received', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'contract_issue_id', 'improved_table_name': 'tender award results', 'improved_column_name': 'contract issuance notice identifier', 'related_table': 'Valid Notices'}
{'table_name': 'Tender Results', 'column_name': 'contract_issue_date', 'improved_table_name': 'tender award results', 'improved_column_name': 'contract issuance date', 'related_table': None}
